Test suit;TC- ID;Name /Title;preconditions;Steps to be Executed;Test Data;Expected Results;Actual Result;priority;status;Requirement Traceabilty;Test Type
POSITIVE;FACEBOOK_ADDPOST_POS_001;Verify the user can add text post ;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6-click on""Post""button";"""Hello this my first Post on FaceBook APP""";Text post should be posted successfully and should be visible in the latest news feed;Text post should be posted successfully and should be visible in the latest news feed;High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_002;Verify the user can add text post with background;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6-Go to the Backgroung field and change the color 
7-click on""Post""button";"""Hello this my first Post on FaceBook APP""+red color";Text post should be posted successfully with red color and should be visible in the latest news feed with red background;Text post should be posted successfully with red color and should be visible in the latest news feed with red background;Medium;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_003;Verify the user can add text post and Tag one person;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6-Go to the Tag field and tag ""Menna Hossam""
7-click on""Post""button";"""Hello this my first Post on FaceBook APP""+ assigned ""@Menna Hossam""";"Text post should be posted successfully with red color and should be visible in the latest news feed with Tagging ""Menna Hossam""";"Text post should be posted successfully with red color and should be visible in the latest news feed with Tagging ""Menna Hossam""";High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_004;Verify the user can add text post and Tag more than person;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6-Go to the Tag field and tag ""Menna Hossam"",""Omar Mohamed"" and""Layla Mohamed""
7-click on""Post""button";"""Hello this my first Post on FaceBook APP""+ assigned ""@Menna Hossam""and""@Omar Mohamed""and""Layla Mohamed""";"Text post should be posted successfully with red color and should be visible in the latest news feed with Tagging ""Menna Hossam"",""Omar Mohamed"" and""Layla Mohamed""";"Text post should be posted successfully with red color and should be visible in the latest news feed with Tagging ""Menna Hossam"",""Omar Mohamed"" and""Layla Mohamed""";High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_005;Verify the user can add text post with Location;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6-Go to the Location field and locate my current Location  
7-click on""Post""button";"""Hello this my first Post on FaceBook APP""+assigned my current Location";Text post should be posted successfully with red color and should be visible in the latest news feed with  my current Location;Text post should be posted successfully with red color and should be visible in the latest news feed with  my current Location;High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_006;Verify the user can add text post with Feeling/Activity;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6-Go to the Felling Field and select ""Happy"" then add activity ""Biking acycle "" 
7-click on""Post""button";"""Hello this my first Post on FaceBook APP""+Happy+Biking a cycle ";"Text post should be posted successfully with red color and should be visible in the latest news feed with Happy on feeling field and ""riding a bike""in activity field ";"Text post should be posted successfully with red color and should be visible in the latest news feed with Happy on feeling field and ""riding a bike""in activity field ";High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_007;Verify the user can add a post with a single photo by Camera;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- Choose Camera and take a photo 
7-click on""Post""button";Taken Photo;Photo post with taken photo should be posted successfully and should be visible in the latest news feed;Photo post with taken photo should be posted successfully and should be visible in the latest news feed;High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_008;Verify the user can add a post with aSingle photo from gallery;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- Choose Gallery and select a photo 
7-click on""Post""button";Choosen Photo ;Photo post with taken photo should be posted successfully and should be visible in the latest news feed;Photo post with taken photo should be posted successfully and should be visible in the latest news feed;High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_009;Verify the user can add a post with single or  multiple video using camera;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- Choose Camera and take a video 
7-click on""Post""button";Taken Video;Video post with taken photo should be posted successfully and should be visible in the latest news feed;Video post with taken photo should be posted successfully and should be visible in the latest news feed;High;Pass;FR 1: Add Post;Manual
POSITIVE;FACEBOOK_ADDPOST_POS_010;Verify the user can add a post with photos and videos using camera;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- Choose Camera and take a video and photo 
7-click on""Post""button";Taken Video +photo;Video and photo post with taken photo should be posted successfully and should be visible in the latest news feed;Videoand Photo post with taken photo should be posted successfully and should be visible in the latest news feed;High;Pass;FR 1: Add Post;Manual
