Type;TC- ID;Name /Title;preconditions;Steps to be Executed;Test Date;Expected Results;Actual Result;priority;status;Requirement Traceabilty;TestType
POSITIVE;FACEBOOK_ADDSTORY_POS_001;Verify the user can add text to story;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-add text
6-click on ""Share""button";""" Hello this my first story""";Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_002;Verify the user can add text and change background;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-add text
6-change background color
7-click on ""Share""button";""" Hello this my first story""+background ";Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Medium;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_003;Verify user can create story with a single photo using camera;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open camera and take photo
6-click on ""Share""button";Taken photo ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_004;Verify user can create a story with a single photo from gallery;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open Gallery and choose photo
6-click on ""Share""button";Choosen Photo;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger.;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger.;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_005;Verify user can create a story with multiple photo token by camera;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open camera and takemulti photos
6-click on ""Share""button";Taken photos ;User should be able to take more than one photo and share them in the same story ;User can,t take more than one photo and share them in the same story;High;Fail;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_006;Verify the user can create a story with multiple photos from gallery;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open Gallery and choose multi photos
6-click on ""Share""button";CHoosen Photos;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_007;Verify user can create a story with a single video using camera;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open camera and take a video
6-click on ""Share""button";Taken Video;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_008;Verify user can create a story with a single video from gallery;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open Gallery and choose video
6-click on ""Share""button";choosen video;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_009;Verify user can create a story with multiple video from gallery;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open Gallery and choose multi videos
6-click on ""Share""button";choosen videos;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
POSITIVE;FACEBOOK_ADDSTORY_POS_010;Verify user can create a story with multiple photos and videos from gallery;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4- Click on ""Add Story""
5-open Gallery and choose video and photo
6-click on ""Share""button";choosen photo and video;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;Story should be shared successfully and should be visible at the top of Facebook feed and at the top of Messenger. ;High;Pass;FR 2 : Add Stories;Manual
